,Code,Max_Count,Min_Count
0,110,1.0,0.0
1,121,1.0,3.0
2,122,1.0,0.0
3,210,23.0,20.0
4,220,3.0,6.0
5,230,17.0,9.0
6,231,1.0,0.0
7,237,3.0,1.0
8,251,1.0,2.0
9,310,36.0,55.0
10,320,3.0,8.0
11,330,28.0,39.0
12,331,7.0,3.0
13,341,24.0,15.0
14,343,1.0,0.0
15,350,6.0,5.0
16,354,25.0,30.0
17,420,21.0,17.0
18,433,1.0,0.0
19,437,2.0,0.0
20,440,38.0,36.0
21,442,12.0,6.0
22,446,1.0,0.0
23,474,1.0,0.0
24,480,2.0,1.0
25,510,38.0,40.0
26,520,2.0,2.0
27,623,2.0,1.0
28,624,52.0,43.0
29,626,14.0,17.0
30,627,3.0,4.0
31,649,4.0,10.0
32,662,1.0,0.0
33,668,2.0,1.0
34,740,21.0,26.0
35,745,15.0,31.0
36,761,2.0,0.0
37,762,2.0,0.0
38,810,2.0,0.0
39,812,6.0,1.0
40,813,6.0,1.0
41,850,1.0,1.0
42,860,3.0,2.0
43,886,1.0,0.0
44,888,4.0,6.0
45,900,5.0,7.0
46,901,2.0,6.0
47,902,1.0,0.0
48,928,2.0,0.0
49,930,21.0,12.0
50,932,1.0,0.0
51,933,1.0,0.0
52,940,1.0,0.0
53,946,8.0,7.0
54,949,1.0,0.0
55,956,7.0,4.0
56,410,0.0,2.0
57,647,0.0,1.0
58,648,0.0,2.0
59,664,0.0,2.0
60,753,0.0,2.0
61,756,0.0,1.0
62,910,0.0,2.0
63,951,0.0,1.0
