,Code,Max_Count,Min_Count
0,121,4.0,0.0
1,122,2.0,0.0
2,210,25.0,34.0
3,220,2.0,5.0
4,230,19.0,18.0
5,236,7.0,8.0
6,310,47.0,49.0
7,320,2.0,4.0
8,330,27.0,45.0
9,331,6.0,9.0
10,341,18.0,19.0
11,343,2.0,3.0
12,347,1.0,0.0
13,350,4.0,6.0
14,351,1.0,1.0
15,354,30.0,32.0
16,410,1.0,1.0
17,420,29.0,24.0
18,437,1.0,0.0
19,440,45.0,48.0
20,442,17.0,17.0
21,480,7.0,3.0
22,510,33.0,68.0
23,520,2.0,2.0
24,623,5.0,1.0
25,624,66.0,55.0
26,625,1.0,1.0
27,626,33.0,27.0
28,627,1.0,2.0
29,647,1.0,0.0
30,649,7.0,10.0
31,662,4.0,9.0
32,664,4.0,5.0
33,668,1.0,5.0
34,740,35.0,27.0
35,745,23.0,22.0
36,753,1.0,0.0
37,761,7.0,6.0
38,763,1.0,0.0
39,812,1.0,0.0
40,813,1.0,0.0
41,815,1.0,1.0
42,820,1.0,0.0
43,821,1.0,0.0
44,850,3.0,2.0
45,860,4.0,1.0
46,886,2.0,2.0
47,888,4.0,7.0
48,900,6.0,3.0
49,901,9.0,3.0
50,903,1.0,1.0
51,930,19.0,15.0
52,946,7.0,6.0
53,951,1.0,2.0
54,956,6.0,5.0
55,110,0.0,1.0
56,250,0.0,1.0
57,441,0.0,2.0
58,648,0.0,3.0
59,651,0.0,1.0
60,653,0.0,2.0
61,666,0.0,1.0
62,755,0.0,1.0
63,806,0.0,1.0
64,810,0.0,1.0
65,902,0.0,1.0
66,910,0.0,1.0
67,928,0.0,1.0
