,Date,Time,Crm_Desc,Crm_Cd,Lat,Lon
5170,2010-09-27,315,"CREDIT CARDS, FRAUD USE ($950.01 & OVER)",653,34.048,-118.2577
5175,2010-09-27,140,BATTERY WITH SEXUAL CONTACT,860,34.0435,-118.2471
5176,2010-09-27,400,THEFT PLAIN - PETTY ($950 & UNDER),440,34.0454,-118.2422
5178,2010-09-27,750,ATTEMPTED ROBBERY,220,34.0412,-118.2436
5179,2010-09-27,1240,BATTERY - SIMPLE ASSAULT,624,34.0464,-118.24799999999999
5180,2010-09-27,1330,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",230,34.0423,-118.2452
5183,2010-09-27,930,"DEFRAUDING INNKEEPER/THEFT OF SERVICES, $400 & UNDER",951,34.0535,-118.256
5184,2010-09-27,745,THEFT PLAIN - PETTY ($950 & UNDER),440,34.0372,-118.2654
5185,2010-09-27,42,BURGLARY,310,34.0487,-118.2588
5187,2010-09-27,1400,BATTERY - SIMPLE ASSAULT,624,34.0419,-118.2485
5188,2010-09-27,1620,BATTERY - SIMPLE ASSAULT,624,34.0415,-118.2654
5189,2010-09-27,1800,VANDALISM - MISDEAMEANOR ($399 OR UNDER),745,34.035,-118.2615
5190,2010-09-27,1800,VANDALISM - MISDEAMEANOR ($399 OR UNDER),745,34.035,-118.2615
5193,2010-09-27,1735,OTHER MISCELLANEOUS CRIME,946,34.0423,-118.2452
5194,2010-09-27,1940,BATTERY - SIMPLE ASSAULT,624,34.0423,-118.2452
5195,2010-09-27,1100,BATTERY - SIMPLE ASSAULT,624,34.0461,-118.2476
5197,2010-09-27,1130,INTIMATE PARTNER - SIMPLE ASSAULT,626,34.0453,-118.2499
5199,2010-09-27,1926,VANDALISM - MISDEAMEANOR ($399 OR UNDER),745,34.0491,-118.2414
5201,2010-09-27,1710,THEFT PLAIN - PETTY ($950 & UNDER),440,34.0439,-118.2514
5204,2010-09-27,1730,DOCUMENT FORGERY / STOLEN FELONY,649,34.0487,-118.2588
5205,2010-09-27,2100,BATTERY - SIMPLE ASSAULT,624,34.046,-118.2509
5293,2010-09-27,1300,THEFT OF IDENTITY,354,34.0607,-118.2405
5323,2010-09-27,1600,THEFT PLAIN - PETTY ($950 & UNDER),440,34.0396,-118.259
6040,2010-09-27,800,OTHER MISCELLANEOUS CRIME,946,34.0697,-118.2352
7027,2010-09-27,1030,CRIMINAL THREATS - NO WEAPON DISPLAYED,930,34.0657,-118.2603
13187,2010-09-27,20,ROBBERY,210,34.0706,-118.2793
13193,2010-09-27,100,BATTERY - SIMPLE ASSAULT,624,34.0583,-118.2616
13197,2010-09-27,1730,ROBBERY,210,34.0667,-118.2546
13203,2010-09-27,1740,THEFT PLAIN - PETTY ($950 & UNDER),440,34.0865,-118.2753
13204,2010-09-27,1950,CRIMINAL THREATS - NO WEAPON DISPLAYED,930,34.0887,-118.2893
13205,2010-09-27,2025,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",740,34.0887,-118.2893
13206,2010-09-27,1630,BATTERY - SIMPLE ASSAULT,624,34.0726,-118.2749
13207,2010-09-27,1630,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",230,34.0514,-118.2743
13209,2010-09-27,2200,THEFT PLAIN - PETTY ($950 & UNDER),440,34.071999999999996,-118.2508
13210,2010-09-27,2130,BATTERY - SIMPLE ASSAULT,624,34.0508,-118.2682
13211,2010-09-27,2000,ROBBERY,210,34.0573,-118.2699
13213,2010-09-27,1800,VEHICLE - STOLEN,510,34.0791,-118.2952
13220,2010-09-27,830,BURGLARY FROM VEHICLE,330,34.054,-118.262
13224,2010-09-27,2100,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",740,34.0539,-118.2799
13225,2010-09-27,2000,INTIMATE PARTNER - SIMPLE ASSAULT,626,34.0505,-118.2814
13227,2010-09-27,1230,BURGLARY FROM VEHICLE,330,34.066,-118.2689
13235,2010-09-27,800,BATTERY - SIMPLE ASSAULT,624,34.065,-118.2666
13244,2010-09-27,1300,BATTERY - SIMPLE ASSAULT,624,34.0421,-118.2824
13259,2010-09-27,1930,VANDALISM - MISDEAMEANOR ($399 OR UNDER),745,34.0818,-118.2856
13282,2010-09-27,1,THEFT OF IDENTITY,354,34.0757,-118.2605
25206,2010-09-27,930,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),420,34.010999999999996,-118.3351
25211,2010-09-27,2100,THEFT PLAIN - PETTY ($950 & UNDER),440,34.021,-118.3002
25215,2010-09-27,1240,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",230,34.0155,-118.2975
25216,2010-09-27,1240,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",230,34.0155,-118.2975
25217,2010-09-27,1500,OTHER MISCELLANEOUS CRIME,946,34.0216,-118.3556
25219,2010-09-27,930,VEHICLE - STOLEN,510,34.0199,-118.3556
25220,2010-09-27,230,BURGLARY,310,34.0328,-118.2864
25221,2010-09-27,800,BURGLARY,310,34.021,-118.3089
25222,2010-09-27,500,CRIMINAL THREATS - NO WEAPON DISPLAYED,930,34.0273,-118.3028
25228,2010-09-27,1430,INTIMATE PARTNER - SIMPLE ASSAULT,626,34.0326,-118.3333
25232,2010-09-27,1600,VEHICLE - STOLEN,510,34.0183,-118.3504
25234,2010-09-27,715,LEWD CONDUCT,762,34.0326,-118.3284
25236,2010-09-27,2220,THREATENING PHONE CALLS/LETTERS,928,34.0206,-118.3725
25237,2010-09-27,2250,BATTERY - SIMPLE ASSAULT,624,34.0256,-118.3305
25242,2010-09-27,2043,VIOLATION OF RESTRAINING ORDER,901,34.0037,-118.3193
25243,2010-09-27,2300,BURGLARY FROM VEHICLE,330,34.0155,-118.2975
25244,2010-09-27,2330,BURGLARY FROM VEHICLE,330,34.0272,-118.3684
25245,2010-09-27,1650,DOCUMENT FORGERY / STOLEN FELONY,649,34.0328,-118.2915
25246,2010-09-27,2030,BURGLARY,310,34.0091,-118.2915
25261,2010-09-27,2200,BURGLARY,310,34.0327,-118.3078
25270,2010-09-27,1500,VANDALISM - MISDEAMEANOR ($399 OR UNDER),745,34.0083,-118.2872
25276,2010-09-27,2100,BATTERY - SIMPLE ASSAULT,624,34.0109,-118.3002
25314,2010-09-27,1200,THEFT OF IDENTITY,354,34.0309,-118.3152
25324,2010-09-27,200,BATTERY WITH SEXUAL CONTACT,860,34.0325,-118.3519
25467,2010-09-27,1300,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",341,34.0221,-118.2944
25766,2010-09-27,800,THEFT OF IDENTITY,354,34.0342,-118.27799999999999
25852,2010-09-27,1200,THEFT OF IDENTITY,354,34.0305,-118.2803
25966,2010-09-27,800,DOCUMENT FORGERY / STOLEN FELONY,649,34.0146,-118.3232
28891,2010-09-27,835,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",230,34.0431,-118.2196
33825,2010-09-27,900,VEHICLE - STOLEN,510,34.0344,-118.2157
33895,2010-09-27,10,BURGLARY,310,34.0189,-118.1932
33920,2010-09-27,1030,BATTERY - SIMPLE ASSAULT,624,34.0805,-118.2017
33921,2010-09-27,930,INTIMATE PARTNER - SIMPLE ASSAULT,626,34.0377,-118.2182
33931,2010-09-27,1530,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),420,34.0473,-118.2089
33932,2010-09-27,1700,CRIMINAL THREATS - NO WEAPON DISPLAYED,930,34.0219,-118.1984
33933,2010-09-27,2120,ATTEMPTED ROBBERY,220,34.0659,-118.1939
33934,2010-09-27,2045,"THEFT, PERSON",350,34.0421,-118.206
33936,2010-09-27,2230,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",740,34.0462,-118.2114
33940,2010-09-27,1900,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",740,34.0475,-118.2241
34002,2010-09-27,830,CRIMINAL THREATS - NO WEAPON DISPLAYED,930,34.0498,-118.1964
34517,2010-09-27,1445,ROBBERY,210,34.0712,-118.1804
36575,2010-09-27,800,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",230,33.7261,-118.288
36576,2010-09-27,930,COUNTERFEIT,660,33.7343,-118.2782
36578,2010-09-27,1910,BATTERY - SIMPLE ASSAULT,624,33.7549,-118.3061
36579,2010-09-27,1910,BATTERY - SIMPLE ASSAULT,624,33.7549,-118.3061
36580,2010-09-27,2255,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",230,33.8002,-118.2623
36581,2010-09-27,1830,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",230,33.7756,-118.2634
36582,2010-09-27,2040,BURGLARY,310,33.7388,-118.2901
36583,2010-09-27,2210,INTIMATE PARTNER - SIMPLE ASSAULT,626,33.736999999999995,-118.2901
36584,2010-09-27,2100,INTIMATE PARTNER - SIMPLE ASSAULT,626,33.7306,-118.2924
42684,2010-09-27,1100,VEHICLE - STOLEN,510,33.7592,-118.2926
42687,2010-09-27,1558,ARSON,648,33.7424,-118.2813
42688,2010-09-27,2245,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",230,33.8257,-118.3064
42689,2010-09-27,430,BATTERY - SIMPLE ASSAULT,624,33.7751,-118.2725
42693,2010-09-27,2000,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",341,33.7234,-118.29899999999999
42695,2010-09-27,2120,BATTERY - SIMPLE ASSAULT,624,33.736,-118.2804
42696,2010-09-27,1545,INTIMATE PARTNER - SIMPLE ASSAULT,626,33.7844,-118.2733
42697,2010-09-27,2100,INTIMATE PARTNER - SIMPLE ASSAULT,626,33.7952,-118.2752
42700,2010-09-27,800,VANDALISM - MISDEAMEANOR ($399 OR UNDER),745,33.7881,-118.2821
42704,2010-09-27,1800,BATTERY - SIMPLE ASSAULT,624,33.8051,-118.3015
42705,2010-09-27,2000,INTIMATE PARTNER - SIMPLE ASSAULT,626,33.7837,-118.302
42723,2010-09-27,1830,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),331,33.7223,-118.2888
42739,2010-09-27,2000,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",956,33.7476,-118.2953
42741,2010-09-27,1900,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",740,33.7916,-118.2562
42753,2010-09-27,1300,OTHER MISCELLANEOUS CRIME,946,33.7288,-118.2924
42765,2010-09-27,2345,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",341,33.7351,-118.2814
42860,2010-09-27,1000,THEFT OF IDENTITY,354,33.7261,-118.29899999999999
42887,2010-09-27,800,THEFT OF IDENTITY,354,33.7911,-118.2454
43125,2010-09-27,1600,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",956,33.7324,-118.2814
43313,2010-09-27,2200,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",740,33.7406,-118.2901
44260,2010-09-27,1,DOCUMENT FORGERY / STOLEN FELONY,649,33.7948,-118.3011
51423,2010-09-27,145,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",740,34.098,-118.3376
51446,2010-09-27,1630,VEHICLE - STOLEN,510,34.0994,-118.3005
51447,2010-09-27,2230,CRIMINAL THREATS - NO WEAPON DISPLAYED,930,34.0926,-118.3201
51454,2010-09-27,1530,BURGLARY FROM VEHICLE,330,34.0944,-118.3428
51456,2010-09-27,800,TRESPASSING,888,34.1053,-118.3203
